name;query_10;query_11;query_12;query_13;query_14;query_15;query_17;query_18;query_19;query_2;query_20;query_21;query_26;query_27;query_28;query_29;query_30;query_31;query_32;query_33;query_34;query_35;query_36;query_4;query_5;query_7;query_9;all
Manual subtitles;0.4000;0.2000;0.2000;0.4000;0.0000;0.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2000;0.2000;0.6000;0.0000;0.0000;0.0000;1.0000;0.2000;0.2000;0.0000;0.0000;0.0000;0.0000;0.6000;0.1778
LIMSI transcripts;0.2000;0.0000;0.2000;0.0000;0.0000;0.4000;0.0000;0.0000;0.6000;0.0000;0.6000;0.2000;0.0000;0.0000;0.0000;0.4000;0.0000;0.0000;0.0000;0.6000;0.0000;0.0000;0.2000;0.2000;0.0000;0.2000;0.2000;0.1481
LIUM transcripts;0.4000;0.0000;0.4000;0.2000;0.2000;0.0000;0.0000;0.0000;0.2000;0.0000;0.6000;0.0000;0.0000;0.0000;0.2000;0.8000;0.0000;0.2000;0.0000;0.8000;0.0000;0.0000;0.0000;0.2000;0.0000;0.2000;0.0000;0.1630
NST/Sheffield;0.6000;0.2000;0.2000;0.2000;0.0000;0.0000;0.0000;0.0000;0.2000;0.0000;0.4000;0.0000;0.0000;0.2000;0.4000;0.4000;0.2000;0.4000;0.0000;0;0.0000;0.2000;0.2000;0.2000;0.0000;0.2000;0.4000;0.1769
All transcript and subtitle;0.4000;0.0000;0.2000;0.6000;0.0000;0.2000;0.0000;0.0000;0.0000;0.0000;0.6000;0.0000;0.0000;0.0000;0.6000;0.6000;0.2000;0.0000;0.0000;0.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2000;0.0000;0.1517
Manual subtitles (Concept2);0.8000;0.2000;0.2000;0.4000;0.4000;0.6000;0.0000;0.2000;0.2000;0.2000;0.2000;0.2000;0.2000;0.4000;0.6000;0.8000;0.0000;0.4000;0.6000;1.0000;0.4000;0.4000;0.0000;0.2000;0.0000;0.0000;0.6000;0.3407
LIMSI transcripts (Concept2);0.2000;0.0000;0.2000;0.0000;0.6000;0.4000;0.2000;0.4000;0.4000;0.0000;1.0000;0.0000;0.4000;0.0000;0.4000;0.4000;0.2000;0.4000;0.8000;0.6000;0.4000;0.4000;0.2000;0.2000;0.2000;0.2000;0.2000;0.3111
LIUM transcripts (Concept2);0.2000;0.0000;0.4000;0.2000;0.8000;0.0000;0.0000;1.0000;0.0000;0.2000;0.6000;0.2000;0.2000;0.8000;0.4000;0.8000;0.2000;0.4000;0.8000;1.0000;0.4000;0.2000;0.0000;0.2000;0.2000;0.6000;0.2000;0.3704
NST/Sheffield (Concept2);0.2000;0.2000;0.2000;0.2000;0.4000;0.0000;0.0000;0.2000;0.2000;0.0000;0.4000;0.4000;0.6000;0.2000;0.4000;0.4000;0.0000;0.2000;1.0000;0;0.2000;0.4000;0.2000;0.6000;0.2000;0.2000;0.4000;0.2846
All transcript and subtitle (Concept2);0.2000;0.0000;0.2000;0.6000;0.0000;0.2000;0.2000;0.0000;0.2000;0.0000;0.2000;0.0000;0.0000;0.0000;0.6000;0.4000;0.2000;0.0000;0.4000;0.8000;0.0000;0.2000;0.0000;0.0000;0.0000;0.2000;0.0000;0.1655
